config,BD-Rate (%),BD-WSSSIM
mask_type=erp | wsmse_tag=0 | swhdc_tag=0 | erp_padding=1,0.38,-0.0004
mask_type=erp | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.8,-0.002
mask_type=erp | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-3.96,0.0045
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-2.96,0.0033
mask_type=full | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.39,-0.0015
mask_type=full | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-4.05,0.0045
mask_type=full | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-3.34,0.0037
