image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim15,full,0,0,1,0.0006,36.34532629134513,0.4944411516189575,259229.5625,36.34273266694762,0.9362602233886719,0.4951179027557373,259584.375,0.021181106567382812,11105.0,0.008970260620117188,4703.0,0.011182785034179688,5863.0,0.0,0,0.5162990093231201,270689.375,5000,1000
othim16,full,0,0,1,0.0006,37.01039840817007,0.43932080268859863,230330.625,36.995678758858624,0.9471265077590942,0.44159871339797974,231524.90625,0.019132614135742188,10031.0,0.007856369018554688,4119.0,0.01035308837890625,5428.0,0.0,0,0.4607313275337219,241555.90625,5000,1000
othim17,full,0,0,1,0.0006,37.0636706982164,0.4511970281600952,236557.1875,37.053127472934634,0.9461812973022461,0.45233291387557983,237152.71875,0.01995086669921875,10460.0,0.008932113647460938,4683.0,0.009979248046875,5232.0,0.0,0,0.4722837805747986,247612.71875,5000,1000
othim18,full,0,0,1,0.0006,37.089448129326236,0.4418153762817383,231638.5,37.070177210766566,0.9473567008972168,0.4421117901802063,231793.90625,0.021015167236328125,11018.0,0.009679794311523438,5075.0,0.010274887084960938,5387.0,0.0,0,0.4631269574165344,242811.90625,5000,1000
othim19,full,0,0,1,0.0006,34.70159647710026,1.0138533115386963,531551.125,34.68841960842219,0.9489588737487793,1.0154716968536377,532399.625,0.019868850708007812,10417.0,0.00849151611328125,4452.0,0.0103302001953125,5416.0,0.0,0,1.0353405475616455,542816.625,5000,1000
othim20,full,0,0,1,0.0006,34.62641047302938,1.0176384449005127,533535.625,34.622942163373054,0.9459331035614014,1.0177936553955078,533617.0,0.022233963012695312,11657.0,0.009721755981445312,5097.0,0.011463165283203125,6010.0,0.0,0,1.0400276184082031,545274.0,5000,1000
othim21,full,0,0,1,0.0006,34.64476591923073,1.0167467594146729,533068.125,34.63466861586774,0.9474670886993408,1.0175385475158691,533483.25,0.021022796630859375,11022.0,0.009847640991210938,5163.0,0.010412216186523438,5459.0,0.0,0,1.0385613441467285,544505.25,5000,1000
othim22,full,0,0,1,0.0006,36.24774131408456,0.5227553844451904,274074.375,36.23986532321869,0.9370856285095215,0.5231226682662964,274266.9375,0.022045135498046875,11558.0,0.009920120239257812,5201.0,0.01119232177734375,5868.0,0.0,0,0.5451678037643433,285824.9375,5000,1000
othim23,full,0,0,1,0.0006,35.941089694926724,0.6068216562271118,318149.3125,35.9332750383167,0.9471428394317627,0.6075655817985535,318539.34375,0.021341323852539062,11189.0,0.008909225463867188,4671.0,0.011333465576171875,5942.0,0.0,0,0.6289069056510925,329728.34375,5000,1000
othim24,full,0,0,1,0.0006,35.473185594483,0.8191379308700562,429464.1875,35.46924236868407,0.9466723799705505,0.8205135464668274,430185.40625,0.021270751953125,11152.0,0.00882720947265625,4628.0,0.011381149291992188,5967.0,0.0,0,0.8417842984199524,441337.40625,5000,1000
othim25,full,0,0,1,0.0006,33.012457362828165,1.0450036525726318,547882.875,33.00316343496165,0.9343742728233337,1.0462172031402588,548519.125,0.02031707763671875,10652.0,0.008855819702148438,4643.0,0.0103912353515625,5448.0,0.0,0,1.0665342807769775,559171.125,5000,1000
othim26,full,0,0,1,0.0006,33.070973384228964,1.0643906593322754,558047.25,33.06856702645067,0.9352821707725525,1.0653444528579712,558547.3125,0.02236175537109375,11724.0,0.009820938110351562,5149.0,0.011478424072265625,6018.0,0.0,0,1.087706208229065,570271.3125,5000,1000
othim27,full,0,0,1,0.0006,33.272258991748004,0.9173535108566284,480957.4375,33.26090442747074,0.926976203918457,0.918346643447876,481478.125,0.0200042724609375,10488.0,0.008897781372070312,4665.0,0.010179519653320312,5337.0,0.0,0,0.9383509159088135,491966.125,5000,1000
othim28,full,0,0,1,0.0006,34.98781679829218,0.9505780935287476,498376.6875,34.983580799017346,0.9490528106689453,0.9513378143310547,498775.0,0.01969146728515625,10324.0,0.0087738037109375,4600.0,0.010034561157226562,5261.0,0.0,0,0.9710292816162109,509099.0,5000,1000
othim29,full,0,0,1,0.0006,35.18947538840127,0.9005016684532166,472122.21875,35.184224556196675,0.9421768188476562,0.9007218480110168,472237.65625,0.022060394287109375,11566.0,0.009853363037109375,5166.0,0.011308670043945312,5929.0,0.0,0,0.9227822422981262,483803.65625,5000,1000
othim30,full,0,0,1,0.0006,34.96909348513714,0.9856181740760803,516747.78125,34.96241897983196,0.9484578967094421,0.9878756403923035,517931.34375,0.01816558837890625,9524.0,0.007663726806640625,4018.0,0.009477615356445312,4969.0,0.0,0,1.0060412287712097,527455.34375,5000,1000
othim01,full,0,0,1,0.0008,34.60219183708435,0.5215874910354614,273462.0625,34.593138150135296,0.9237895011901855,0.5232131481170654,274314.375,0.020341873168945312,10665.0,0.0088958740234375,4664.0,0.010528564453125,5520.0,0.0,0,0.5435550212860107,284979.375,5000,1000
othim02,full,0,0,1,0.0008,34.56503312660459,0.5370118618011475,281548.875,34.551347825232746,0.9219305515289307,0.537360429763794,281731.625,0.021570205688476562,11309.0,0.01003265380859375,5260.0,0.0106048583984375,5560.0,0.0,0,0.5589306354522705,293040.625,5000,1000
othim03,full,0,0,1,0.0008,34.482801383645246,0.5414512157440186,283876.375,34.47803230841989,0.9211260676383972,0.5417312979698181,284023.21875,0.022165298461914062,11621.0,0.0099334716796875,5208.0,0.011293411254882812,5921.0,0.0,0,0.5638965964317322,295644.21875,5000,1000
othim04,full,0,0,1,0.0008,33.17873429803928,1.150991439819336,603451.0,33.17278377265425,0.9416835308074951,1.1522562503814697,604114.125,0.020442962646484375,10718.0,0.0085601806640625,4488.0,0.01107025146484375,5804.0,0.0,0,1.172699213027954,614832.125,5000,1000
othim05,full,0,0,1,0.0008,33.80917166601852,0.9257871508598328,485379.09375,33.80601217348246,0.9333760142326355,0.9262614250183105,485627.75,0.021373748779296875,11206.0,0.008869171142578125,4650.0,0.011440277099609375,5998.0,0.0,0,0.9476351737976074,496833.75,5000,1000
othim06,full,0,0,1,0.0008,33.70134864282295,0.8907147645950317,466991.0625,33.69103906602862,0.9318304061889648,0.8914918899536133,467398.5,0.019880294799804688,10423.0,0.00873565673828125,4580.0,0.0102081298828125,5352.0,0.0,0,0.911372184753418,477821.5,5000,1000
othim07,full,0,0,1,0.0008,35.741150873199345,0.38931021094322205,204110.671875,35.72409150301993,0.9395575523376465,0.38997453451156616,204458.96875,0.020063400268554688,10519.0,0.00888824462890625,4660.0,0.010227203369140625,5362.0,0.0,0,0.41003793478012085,214977.96875,5000,1000
othim08,full,0,0,1,0.0008,35.76581083993285,0.368285596370697,193087.71875,35.74671023252039,0.9383789300918579,0.370189905166626,194086.125,0.019287109375,10112.0,0.007843017578125,4112.0,0.010377883911132812,5441.0,0.0,0,0.389477014541626,204198.125,5000,1000
othim09,full,0,0,1,0.0008,35.661315974887145,0.3867286741733551,202757.203125,35.64336328585738,0.9370803236961365,0.38693028688430786,202862.90625,0.021459579467773438,11251.0,0.00992584228515625,5204.0,0.010593414306640625,5554.0,0.0,0,0.4083898663520813,214113.90625,5000,1000
othim10,full,0,0,1,0.0008,34.028024912574615,0.47048360109329224,246668.90625,34.02060482536158,0.9009894132614136,0.47129112482070923,247092.28125,0.020074844360351562,10525.0,0.008665084838867188,4543.0,0.010467529296875,5488.0,0.0,0,0.4913659691810608,257617.28125,5000,1000
othim11,full,0,0,1,0.0008,34.14033278010805,0.5625337362289429,294929.6875,34.1330131868308,0.9101214408874512,0.5637377500534058,295560.9375,0.020923614501953125,10970.0,0.008829116821289062,4629.0,0.011142730712890625,5842.0,0.0,0,0.5846613645553589,306530.9375,5000,1000
othim12,full,0,0,1,0.0008,34.043173576692276,0.6185089945793152,324276.84375,34.039343267419234,0.9135028123855591,0.6195907592773438,324844.0,0.021142959594726562,11085.0,0.00896453857421875,4700.0,0.011121749877929688,5831.0,0.0,0,0.6407337188720703,335929.0,5000,1000
othim13,full,0,0,1,0.0008,35.50540795074347,0.4239903688430786,222293.0625,35.49366554812048,0.9278397560119629,0.4247085452079773,222669.59375,0.019773483276367188,10367.0,0.008890151977539062,4661.0,0.009952545166015625,5218.0,0.0,0,0.4444820284843445,233036.59375,5000,1000
othim14,full,0,0,1,0.0008,35.67200275403355,0.40581393241882324,212763.375,35.662177238216465,0.9282414317131042,0.4059717059135437,212846.09375,0.021558761596679688,11303.0,0.010112762451171875,5302.0,0.010669708251953125,5594.0,0.0,0,0.4275304675102234,224149.09375,5000,1000
othim15,full,0,0,1,0.0008,35.50070044252419,0.4265919327735901,223657.03125,35.48312005628592,0.9272594451904297,0.42742642760276794,224094.546875,0.019655227661132812,10305.0,0.008884429931640625,4658.0,0.009960174560546875,5222.0,0.0,0,0.44708165526390076,234399.546875,5000,1000
othim16,full,0,0,1,0.0008,36.219766696873414,0.3733004331588745,195716.9375,36.20440202827603,0.9398247003555298,0.37461134791374207,196404.234375,0.019731521606445312,10345.0,0.008634567260742188,4527.0,0.010320663452148438,5411.0,0.0,0,0.3943428695201874,206749.234375,5000,1000
othim17,full,0,0,1,0.0008,36.09252356208858,0.38209909200668335,200329.96875,36.07285921559144,0.9391958117485046,0.3830493688583374,200828.1875,0.020154953002929688,10567.0,0.0087127685546875,4568.0,0.010519027709960938,5515.0,0.0,0,0.4032043218612671,211395.1875,5000,1000
othim18,full,0,0,1,0.0008,36.32007706630596,0.3837440013885498,201192.375,36.302172458783666,0.9396215677261353,0.3849950134754181,201848.265625,0.020050048828125,10512.0,0.008831024169921875,4630.0,0.010320663452148438,5411.0,0.0,0,0.4050450623035431,212360.265625,5000,1000
othim19,full,0,0,1,0.0008,33.63203571656574,0.8835832476615906,463252.09375,33.626407262568,0.9375957250595093,0.8841034173965454,463524.8125,0.020977020263671875,10998.0,0.009752273559570312,5113.0,0.010280609130859375,5390.0,0.0,0,0.9050804376602173,474522.8125,5000,1000
othim20,full,0,0,1,0.0008,33.67113606945625,0.8752646446228027,458890.75,33.661827039069756,0.9339097738265991,0.8768305778503418,459711.75,0.018980026245117188,9951.0,0.00762939453125,4000.0,0.010425567626953125,5466.0,0.0,0,0.895810604095459,469662.75,5000,1000
othim21,full,0,0,1,0.0008,33.68178099316818,0.9112345576286316,477749.34375,33.672918031356,0.9350917339324951,0.9118568897247314,478075.625,0.020206451416015625,10594.0,0.008907318115234375,4670.0,0.010480880737304688,5495.0,0.0,0,0.9320633411407471,488669.625,5000,1000
othim22,full,0,0,1,0.0008,35.29188618883068,0.45329606533050537,237657.6875,35.287738298179306,0.929071307182312,0.4544932246208191,238285.34375,0.021327972412109375,11182.0,0.008998870849609375,4718.0,0.011415481567382812,5985.0,0.0,0,0.47582119703292847,249467.34375,5000,1000
othim23,full,0,0,1,0.0008,35.02199995580953,0.526195228099823,275877.84375,35.01599363823279,0.9382962584495544,0.5270140171051025,276307.125,0.02154541015625,11296.0,0.009033203125,4736.0,0.011411666870117188,5983.0,0.0,0,0.5485594272613525,287603.125,5000,1000
othim24,full,0,0,1,0.0008,34.559083224774064,0.7128452062606812,373736.1875,34.55635700207804,0.9395201206207275,0.714676558971405,374696.34375,0.021570205688476562,11309.0,0.008977890014648438,4707.0,0.01155853271484375,6060.0,0.0,0,0.7362467646598816,386005.34375,5000,1000
