image_name,mask_type,wsmse_tag,swhdc_tag,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,0.01,26.281422935251516,0.1190260797739029,15600.986328125,26.183585446126212,0.12371735274791718,16215.880859375,0.0575408935546875,7542.0,0.0261383056640625,3426.0,0.028533935546875,3740.0,0.0,0,0.18125824630260468,23757.880859375,1000,1000
othim01,full,0,0,0.00802,26.64947921733031,0.13827276229858398,18123.6875,26.54435378310174,0.14234468340873718,18657.40234375,0.05731201171875,7512.0,0.02667236328125,3496.0,0.02774810791015625,3637.0,0.0,0,0.19965669512748718,26169.40234375,1000,1000
othim01,full,0,0,0.00604,27.26359037389838,0.1797727346420288,23563.171875,27.234612296990353,0.18309307098388672,23998.375,0.06118011474609375,8019.0,0.02611541748046875,3423.0,0.03160858154296875,4143.0,0.0,0,0.24427318572998047,32017.375,1000,1000
othim01,full,0,0,0.00406,27.647677764311528,0.21018680930137634,27549.60546875,27.61825585263469,0.21514767408370972,28199.8359375,0.05998992919921875,7863.0,0.02620697021484375,3435.0,0.0304107666015625,3986.0,0.0,0,0.27513760328292847,36062.8359375,1000,1000
othim01,full,0,0,0.00208,30.167217301644445,0.405525267124176,53153.0078125,30.15664027500507,0.40659254789352417,53292.8984375,0.06903839111328125,9049.0,0.030517578125,4000.0,0.03516387939453125,4609.0,0.0,0,0.4756309390068054,62341.8984375,1000,1000
othim01,full,0,0,0.0001,37.718854458645204,1.7485674619674683,229188.234375,37.70483317611112,1.7508745193481445,229490.625,0.08251190185546875,10815.0,0.03356170654296875,4399.0,0.044219970703125,5796.0,0.0,0,1.8333864212036133,240305.625,1000,1000
othim01,full,1,0,0.01,26.57242922958156,0.13130426406860352,17210.3125,26.40920807303317,0.13453423976898193,17633.671875,0.0561676025390625,7362.0,0.02642822265625,3464.0,0.0268707275390625,3522.0,0.0,0,0.19070184230804443,24995.671875,1000,1000
othim01,full,1,0,0.00802,27.01571048525314,0.14972272515296936,19624.45703125,27.00298065015218,0.1532609611749649,20088.220703125,0.06542205810546875,8575.0,0.0260009765625,3408.0,0.03598785400390625,4717.0,0.0,0,0.21868301928043365,28663.220703125,1000,1000
othim01,full,1,0,0.00604,27.398958948527675,0.1849631369113922,24243.48828125,27.22765717431876,0.1859152913093567,24368.2890625,0.058685302734375,7692.0,0.03022003173828125,3961.0,0.0261077880859375,3422.0,0.0,0,0.2446005940437317,32060.2890625,1000,1000
othim01,full,1,0,0.00406,28.916022803471847,0.2871848940849304,37641.8984375,28.857086086049065,0.28983768820762634,37989.60546875,0.0603790283203125,7914.0,0.02686309814453125,3521.0,0.03021240234375,3960.0,0.0,0,0.35021671652793884,45903.60546875,1000,1000
othim01,full,1,0,0.00208,31.005829304064687,0.45248955488204956,59308.7109375,30.897974898725874,0.4574497938156128,59958.859375,0.059783935546875,7836.0,0.0259857177734375,3406.0,0.031402587890625,4116.0,0.0,0,0.5172337293624878,67794.859375,1000,1000
othim01,full,1,0,0.0001,37.59183002497365,1.7851812839508057,233987.28125,37.586193519306654,1.7888000011444092,234461.59375,0.08209991455078125,10761.0,0.0332794189453125,4362.0,0.04505157470703125,5905.0,0.0,0,1.8708999156951904,245222.59375,1000,1000
othim01,erp,0,0,0.01,26.32242029931824,0.12112125754356384,15875.60546875,26.26435621259652,0.12322249263525009,16151.0185546875,0.05896759033203125,7729.0,0.0261688232421875,3430.0,0.0299072265625,3920.0,0.0,0,0.18219008296728134,23880.0185546875,1000,1000
othim01,erp,0,0,0.00802,26.639128657406903,0.1429847776889801,18741.30078125,26.617852603907625,0.1434520184993744,18802.54296875,0.066253662109375,8684.0,0.03029632568359375,3971.0,0.032989501953125,4324.0,0.0,0,0.2097056806087494,27486.54296875,1000,1000
othim01,erp,0,0,0.00604,27.1433024578731,0.169882133603096,22266.791015625,27.09477627828331,0.17071275413036346,22375.662109375,0.06735992431640625,8829.0,0.030914306640625,4052.0,0.03400421142578125,4457.0,0.0,0,0.23807267844676971,31204.662109375,1000,1000
othim01,erp,0,0,0.00406,28.19169451506686,0.24182255566120148,31696.166015625,28.169343903323412,0.24277788400650024,31821.3828125,0.0713958740234375,9358.0,0.03112030029296875,4079.0,0.0373687744140625,4898.0,0.0,0,0.31417375802993774,41179.3828125,1000,1000
othim01,erp,0,0,0.00208,30.238741669590777,0.4020124673843384,52692.578125,30.201083174292194,0.4031234681606293,52838.19921875,0.065643310546875,8604.0,0.03043365478515625,3989.0,0.03195953369140625,4189.0,0.0,0,0.4687667787075043,61442.19921875,1000,1000
othim01,erp,0,0,0.0001,37.4205158183378,1.7627297639846802,231044.515625,37.414873735315936,1.7642571926116943,231244.71875,0.08502960205078125,11145.0,0.033905029296875,4444.0,0.047027587890625,6164.0,0.0,0,1.8492867946624756,242389.71875,1000,1000
othim01,erp,1,0,0.01,26.747404519961833,0.13246753811836243,17362.78515625,26.61110615794212,0.13327139616012573,17468.1484375,0.06131744384765625,8037.0,0.030548095703125,4004.0,0.02850341796875,3736.0,0.0,0,0.19458884000778198,25505.1484375,1000,1000
othim01,erp,1,0,0.00802,27.08318935049593,0.15272213518619537,20017.595703125,27.04376836045246,0.1532955765724182,20092.7578125,0.067657470703125,8868.0,0.03083038330078125,4041.0,0.03345489501953125,4385.0,0.0,0,0.2209530472755432,28960.7578125,1000,1000
othim01,erp,1,0,0.00604,27.50698400289021,0.18522560596466064,24277.890625,27.46684738737649,0.187334805727005,24554.34765625,0.06493377685546875,8511.0,0.0266265869140625,3490.0,0.0359344482421875,4710.0,0.0,0,0.25226858258247375,33065.34765625,1000,1000
othim01,erp,1,0,0.00406,28.995363117783814,0.27936625480651855,36617.09375,28.945957971460377,0.28426870703697205,37259.66796875,0.05756378173828125,7545.0,0.02260589599609375,2963.0,0.03226470947265625,4229.0,0.0,0,0.3418324887752533,44804.66796875,1000,1000
othim01,erp,1,0,0.00208,30.88134957042423,0.4572104811668396,59927.4921875,30.826548371786746,0.4603850841522217,60343.59375,0.06562042236328125,8601.0,0.0262908935546875,3446.0,0.035919189453125,4708.0,0.0,0,0.5260055065155029,68944.59375,1000,1000
othim01,erp,1,0,0.0001,36.88925898986789,1.8449532985687256,241821.71875,36.8804011861157,1.8477150201797485,242183.703125,0.079132080078125,10372.0,0.0341949462890625,4482.0,0.04071044921875,5336.0,0.0,0,1.9268471002578735,252555.703125,1000,1000
