config,BD-Rate (%),BD-WSSSIM
mask_type=erp | wsmse_tag=0 | swhdc_tag=0 | erp_padding=1,0.49,-0.0005
mask_type=erp | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.57,-0.0017
mask_type=erp | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-3.79,0.004
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-2.94,0.0031
mask_type=full | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.22,-0.0013
mask_type=full | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-3.94,0.0043
mask_type=full | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-3.37,0.0036
