config,baseline,BD-Rate (%),BD-PSNR
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,lic360_777965,-28.3,1.4876
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,lic_plus_777974,-8.65,0.4087
