config,baseline,BD-Rate (%),BD-WSSSIM
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,lic360_777965,43.07,-0.0328
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,lic_plus_777974,80.26,-0.0562
