config,BD-Rate (%),BD-WSSSIM
mask_type=erp | wsmse_tag=0 | swhdc_tag=0 | erp_padding=1,0.51,-0.0006
mask_type=erp | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.64,-0.0018
mask_type=erp | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-3.97,0.0044
mask_type=erp | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-2.97,0.0033
mask_type=full | wsmse_tag=0 | swhdc_tag=1 | erp_padding=1,1.3,-0.0014
mask_type=full | wsmse_tag=1 | swhdc_tag=0 | erp_padding=1,-4.03,0.0045
mask_type=full | wsmse_tag=1 | swhdc_tag=1 | erp_padding=1,-3.35,0.0037
