image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim26,erp,0,combined,0,1,1,1,0.4,24.6554498208045,0.264301478862762,138570.09375,24.5063632465374,0.845150411128998,0.266554027795792,139751.078125,0.0169105529785156,8866,0.00718116760253906,3765,0.00913810729980469,4791,0,0,0.283464580774307,148617.078125,5000,1000
othim27,erp,0,combined,0,1,1,1,0.4,25.7236409600526,0.248074352741241,130062.40625,25.2879567010174,0.839720904827118,0.248274654150009,130167.421875,0.0189361572265625,9928,0.00918388366699219,4815,0.00928688049316406,4869,0,0,0.267210811376572,140095.421875,5000,1000
othim28,erp,0,combined,0,1,1,1,0.4,26.5585682544021,0.248488634824753,130279.609375,25.8623950937252,0.860412299633026,0.248717203736305,130399.4453125,0.0188255310058594,9870,0.00910377502441406,4773,0.00928115844726563,4866,0,0,0.267542734742165,140269.4453125,5000,1000
othim29,erp,0,combined,0,1,1,1,0.4,26.8001420635034,0.236124604940414,123797.296875,26.4551643026761,0.866601586341858,0.236959904432297,124235.234375,0.0166454315185547,8727,0.00715065002441406,3749,0.00904083251953125,4740,0,0,0.253605335950851,132962.234375,5000,1000
othim30,erp,0,combined,0,1,1,1,0.4,26.155060672293,0.242253124713898,127010.40625,25.0608699749044,0.848316669464111,0.242690816521645,127239.8828125,0.01605224609375,8416,0.00784873962402344,4115,0.00786399841308594,4123,0,0,0.258743062615395,135655.8828125,5000,1000
othim01,erp,0,combined,0,1,1,1,0.8,26.2666715396904,0.109719708561897,57524.7265625,25.7250052292698,0.821061491966248,0.109841957688332,57588.8203125,0.0186805725097656,9794,0.00913047790527344,4787,0.00909805297851563,4770,0,0,0.128522530198097,67382.8203125,5000,1000
othim02,erp,0,combined,0,1,1,1,0.8,25.9905738361731,0.10732713341713,56270.328125,25.0844903695715,0.8082315325737,0.107668571174145,56449.33984375,0.0171775817871094,9006,0.00892448425292969,4679,0.00778579711914063,4082,0,0,0.124846152961254,65455.33984375,5000,1000
othim03,erp,0,combined,0,1,1,1,0.8,26.2898475139987,0.111807763576508,58619.46875,26.1261085646536,0.823983192443848,0.112744301557541,59110.484375,0.0175228118896484,9187,0.00795936584472656,4173,0.00897216796875,4704,0,0,0.130267113447189,68297.484375,5000,1000
othim04,erp,0,combined,0,1,1,1,0.8,22.9473186396065,0.193199932575226,101292.40625,22.7416869051034,0.762914538383484,0.193549513816834,101475.6875,0.0178260803222656,9346,0.00816726684570313,4282,0.00904464721679688,4742,0,0,0.211375594139099,110821.6875,5000,1000
othim05,erp,0,combined,0,1,1,1,0.8,24.2944143457214,0.17662239074707,92601,23.8797049344453,0.759057998657227,0.176822006702423,92705.65625,0.0185184478759766,9709,0.0102272033691406,5362,0.00783348083496094,4107,0,0,0.1953404545784,102414.65625,5000,1000
othim06,erp,0,combined,0,1,1,1,0.8,24.1314070119622,0.167747616767883,87948.0625,23.4967384374929,0.779700934886932,0.168278411030769,88226.3515625,0.0164508819580078,8625,0.00806427001953125,4228,0.00791168212890625,4148,0,0,0.184729292988777,96851.3515625,5000,1000
othim07,erp,0,combined,0,1,1,1,0.8,26.5642821499283,0.0830321237444878,43532.74609375,25.208951654409,0.865863084793091,0.0841120108962059,44098.91796875,0.0152015686035156,7970,0.00680923461914063,3570,0.00777626037597656,4077,0,0,0.0993135794997215,52068.91796875,5000,1000
othim08,erp,0,combined,0,1,1,1,0.8,27.5941757084046,0.0798757150769234,41877.87890625,25.7719614036727,0.849238574504852,0.0806841477751732,42301.73046875,0.0160293579101563,8404,0.00789833068847656,4141,0.00775909423828125,4068,0,0,0.0967135056853294,50705.73046875,5000,1000
