image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,erp,0,combined,0.0,1.0,1,1,0.1,32.66896381681496,0.5033864378929138,263919.46875,31.623449753612473,0.9470717310905457,0.5045950412750244,264553.125,0.019605636596679688,10279.0,0.00934600830078125,4900.0,0.009660720825195312,5065.0,0.0,0,0.5242006778717041,274832.125,100000,10000
othim06,erp,0,combined,0.0,1.0,1,1,0.1,30.904102157456247,0.7390890121459961,387495.5,30.613414367574233,0.9511760473251343,0.7393077611923218,387610.1875,0.021738052368164062,11397.0,0.010540008544921875,5526.0,0.010616302490234375,5566.0,0.0,0,0.7610458135604858,399007.1875,100000,10000
othim11,erp,0,combined,0.0,1.0,1,1,0.1,33.70130733774596,0.6137650609016418,321789.65625,32.58536772084332,0.9521677494049072,0.6140267848968506,321926.875,0.020839691162109375,10926.0,0.010412216186523438,5459.0,0.00994110107421875,5212.0,0.0,0,0.63486647605896,332852.875,100000,10000
othim16,erp,0,combined,0.0,1.0,1,1,0.1,34.835468187803286,0.3589513301849365,188193.875,34.21211873051793,0.9650391340255737,0.35953289270401,188498.78125,0.020845413208007812,10929.0,0.00919342041015625,4820.0,0.01107025146484375,5804.0,0.0,0,0.3803783059120178,199427.78125,100000,10000
othim21,erp,0,combined,0.0,1.0,1,1,0.1,30.899795369479353,0.7114293575286865,372993.875,30.2686997006318,0.9519155025482178,0.7124863862991333,373548.0625,0.019605636596679688,10279.0,0.009313583374023438,4883.0,0.0096893310546875,5080.0,0.0,0,0.732092022895813,383827.0625,100000,10000
othim26,erp,0,combined,0.0,1.0,1,1,0.1,29.397665369496412,0.6704716682434082,351520.25,28.95663138659592,0.9345675706863403,0.6720520257949829,352348.8125,0.019662857055664062,10309.0,0.00928497314453125,4868.0,0.009782791137695312,5129.0,0.0,0,0.691714882850647,362657.8125,100000,10000
othim01,erp,0,combined,0.0,1.0,1,1,0.2,30.581694523290412,0.3223646879196167,169011.9375,30.155412411980027,0.9228979349136353,0.3229926824569702,169341.1875,0.019941329956054688,10455.0,0.009328842163085938,4891.0,0.010004043579101562,5245.0,0.0,0,0.3429340124130249,179796.1875,100000,10000
othim06,erp,0,combined,0.0,1.0,1,1,0.2,28.711977653400805,0.47657591104507446,249863.03125,27.422279050634348,0.903645396232605,0.478101521730423,250662.890625,0.017055511474609375,8942.0,0.00841522216796875,4412.0,0.008157730102539062,4277.0,0.0,0,0.49515703320503235,259604.890625,100000,10000
othim11,erp,0,combined,0.0,1.0,1,1,0.2,31.30999641537315,0.38548871874809265,202107.109375,30.972798130227783,0.9236283302307129,0.3866918683052063,202737.90625,0.021051406860351562,11037.0,0.0093841552734375,4920.0,0.011167526245117188,5855.0,0.0,0,0.40774327516555786,213774.90625,100000,10000
othim16,erp,0,combined,0.0,1.0,1,1,0.2,32.352956614116856,0.22766314446926117,119361.0546875,31.822545709114213,0.9458601474761963,0.22824177145957947,119664.421875,0.020824432373046875,10918.0,0.009317398071289062,4885.0,0.010877609252929688,5703.0,0.0,0,0.24906620383262634,130582.421875,100000,10000
othim21,erp,0,combined,0.0,1.0,1,1,0.2,28.68491697641956,0.4672626852989197,244980.21875,28.379487848758476,0.9189523458480835,0.46788522601127625,245306.609375,0.019739151000976562,10349.0,0.009340286254882812,4897.0,0.009670257568359375,5070.0,0.0,0,0.4876243770122528,255655.609375,100000,10000
othim26,erp,0,combined,0.0,1.0,1,1,0.2,27.027540194960807,0.413933128118515,217020.171875,26.493780988746295,0.896994948387146,0.4148517847061157,217501.8125,0.019718170166015625,10338.0,0.009243011474609375,4846.0,0.009866714477539062,5173.0,0.0,0,0.43456995487213135,227839.8125,100000,10000
othim01,erp,0,combined,0.0,1.0,1,1,0.4,28.360550768670162,0.1866668164730072,97867.171875,27.34860601611464,0.8821198344230652,0.18801020085811615,98571.4921875,0.018014907836914062,9445.0,0.008335113525390625,4370.0,0.008899688720703125,4666.0,0.0,0,0.2060251086950302,108016.4921875,100000,10000
othim06,erp,0,combined,0.0,1.0,1,1,0.4,26.452681455281706,0.29881906509399414,156667.25,25.9571952040739,0.8587052822113037,0.2992863059043884,156912.21875,0.01857757568359375,9740.0,0.009403228759765625,4930.0,0.0086669921875,4544.0,0.0,0,0.3178638815879822,166652.21875,100000,10000
othim11,erp,0,combined,0.0,1.0,1,1,0.4,29.17189297378877,0.22744202613830566,119245.125,27.366994921077094,0.8688997030258179,0.22789360582828522,119481.8828125,0.018636703491210938,9771.0,0.009447097778320312,4953.0,0.008541107177734375,4478.0,0.0,0,0.24653030931949615,129252.8828125,100000,10000
othim16,erp,0,combined,0.0,1.0,1,1,0.4,29.932168038536503,0.12508106231689453,65578.5,28.97155179025008,0.9118055701255798,0.12635812163352966,66248.046875,0.017503738403320312,9177.0,0.008319854736328125,4362.0,0.00868988037109375,4556.0,0.0,0,0.14386186003684998,75425.046875,100000,10000
othim21,erp,0,combined,0.0,1.0,1,1,0.4,26.335826148629934,0.29128170013427734,152715.5,25.393495639967437,0.8536086082458496,0.2918577492237091,153017.515625,0.018529891967773438,9715.0,0.009363174438476562,4909.0,0.008758544921875,4592.0,0.0,0,0.31038764119148254,162732.515625,100000,10000
