image_name,mask_type,wsmse_tag,swhdc_tag,erp_upsampling_tag,erp_phi_ref,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,0,30.0,0.00406,28.669144852412334,0.17680320143699646,92695.796875,28.653091501917455,0.17723554372787476,92922.46875,0.017663955688476562,9261.0,0.0076618194580078125,4017.0,0.009166717529296875,4806.0,0.0,0,0.19489949941635132,102183.46875,1000,1000
othim04,full,0,0,0,30.0,0.00406,27.110614586903207,0.44407808780670166,232824.8125,27.105775714582535,0.4452762305736542,233452.984375,0.017793655395507812,9329.0,0.007732391357421875,4054.0,0.0092010498046875,4824.0,0.0,0,0.463069885969162,242781.984375,1000,1000
othim07,full,0,0,0,30.0,0.00406,30.239182288003416,0.14551664888858795,76292.6328125,30.20884805340464,0.1466398537158966,76881.515625,0.0167388916015625,8776.0,0.0075397491455078125,3953.0,0.00812530517578125,4260.0,0.0,0,0.1633787453174591,85657.515625,1000,1000
othim10,full,0,0,0,30.0,0.00406,29.317702064300864,0.14757803082466125,77373.390625,29.28836402316212,0.14817142486572266,77684.5,0.016147613525390625,8466.0,0.00757598876953125,3972.0,0.0077152252197265625,4045.0,0.0,0,0.16431903839111328,86150.5,1000,1000
othim13,full,0,0,0,30.0,0.00406,29.97104999769194,0.13772517442703247,72207.65625,29.949514681314913,0.1383882462978363,72555.296875,0.016305923461914062,8549.0,0.0076236724853515625,3997.0,0.0078277587890625,4104.0,0.0,0,0.15469416975975037,81104.296875,1000,1000
othim01,full,0,0,0,30.0,0.00208,31.206718914416555,0.3240654766559601,169903.640625,31.198781791865404,0.3248229920864105,170300.796875,0.018327713012695312,9609.0,0.007587432861328125,3978.0,0.009769439697265625,5122.0,0.0,0,0.34315070509910583,179909.796875,1000,1000
othim04,full,0,0,0,30.0,0.00208,29.46536765296622,0.7467812299728394,391528.4375,29.462573496723014,0.7473170757293701,391809.375,0.019479751586914062,10213.0,0.008707046508789062,4565.0,0.009698867797851562,5085.0,0.0,0,0.7667968273162842,402022.375,1000,1000
othim07,full,0,0,0,30.0,0.00208,32.51467830451427,0.26031285524368286,136478.90625,32.500234190007774,0.2606215476989746,136640.75,0.019411087036132812,10177.0,0.008602142333984375,4510.0,0.009731292724609375,5102.0,0.0,0,0.2800326347351074,146817.75,1000,1000
othim10,full,0,0,0,30.0,0.00208,30.834551878009183,0.2696656882762909,141382.484375,30.814544097700036,0.27060508728027344,141875.0,0.017488479614257812,9169.0,0.007617950439453125,3994.0,0.009014129638671875,4726.0,0.0,0,0.28809356689453125,151044.0,1000,1000
othim13,full,0,0,0,30.0,0.00208,32.48168149875787,0.256669819355011,134568.90625,32.463992844432745,0.2571451663970947,134818.125,0.018283843994140625,9586.0,0.008756637573242188,4591.0,0.008556365966796875,4486.0,0.0,0,0.27542901039123535,144404.125,1000,1000
