image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,erp,0,1,1,0.005,28.732519982635008,0.1477288454771042,77452.4609375,28.722336467511255,0.8084684610366821,0.14835266768932343,77779.5234375,0.022390365600585938,11739.0,0.008968353271484375,4702.0,0.012571334838867188,6591.0,0.0,0,0.17074303328990936,89518.5234375,5000,1000
othim02,erp,0,1,1,0.005,28.869523060390634,0.14925891160964966,78254.65625,28.851730799675234,0.8101419806480408,0.14980937540531158,78543.2578125,0.020353317260742188,10671.0,0.008035659790039062,4213.0,0.011476516723632812,6017.0,0.0,0,0.17016269266605377,89214.2578125,5000,1000
othim03,erp,0,1,1,0.005,28.91905871791488,0.15367406606674194,80569.46875,28.904870059009983,0.810798168182373,0.15409019589424133,80787.640625,0.021097183227539062,11061.0,0.008932113647460938,4683.0,0.01120758056640625,5876.0,0.0,0,0.1751873791217804,91848.640625,5000,1000
othim04,erp,0,1,1,0.005,26.69905630164669,0.3689005970954895,193410.15625,26.692995397145935,0.7815918922424316,0.37002190947532654,193998.046875,0.02002716064453125,10500.0,0.0077075958251953125,4041.0,0.01136016845703125,5956.0,0.0,0,0.3900490701198578,204498.046875,5000,1000
othim05,erp,0,1,1,0.005,27.41629680240331,0.27491477131843567,144134.515625,27.399943037177508,0.7698237299919128,0.27584540843963623,144622.4375,0.0200958251953125,10536.0,0.00814056396484375,4268.0,0.010972976684570312,5753.0,0.0,0,0.29594123363494873,155158.4375,5000,1000
othim06,erp,0,1,1,0.005,27.52131668733,0.28288090229034424,148311.0625,27.51862378785758,0.7794243693351746,0.2832033634185791,148480.125,0.022174835205078125,11626.0,0.008836746215820312,4633.0,0.012491226196289062,6549.0,0.0,0,0.3053781986236572,160106.125,5000,1000
othim07,erp,0,1,1,0.005,30.110508057940667,0.12420706450939178,65120.2734375,30.10259125901096,0.8662667274475098,0.12468300759792328,65369.8046875,0.022212982177734375,11646.0,0.008998870849609375,4718.0,0.012371063232421875,6486.0,0.0,0,0.14689598977565765,77015.8046875,5000,1000
othim08,erp,0,1,1,0.005,30.35391260036614,0.1110614538192749,58228.1875,30.329726122719947,0.8662919402122498,0.11254367977380753,59005.30078125,0.020120620727539062,10549.0,0.007909774780273438,4147.0,0.011243820190429688,5895.0,0.0,0,0.1326643005013466,69554.30078125,5000,1000
othim09,erp,0,1,1,0.005,30.358168351009926,0.13133344054222107,68856.546875,30.337646643365606,0.8669208288192749,0.13186979293823242,69137.75,0.020763397216796875,10886.0,0.008884429931640625,4658.0,0.011030197143554688,5783.0,0.0,0,0.1526331901550293,80023.75,5000,1000
othim10,erp,0,1,1,0.005,29.231330556011567,0.11599208414554596,60813.2578125,29.226742494363908,0.7697625160217285,0.11627271771430969,60960.390625,0.022466659545898438,11779.0,0.008886337280273438,4659.0,0.01247406005859375,6540.0,0.0,0,0.13873937726020813,72739.390625,5000,1000
othim11,erp,0,1,1,0.005,28.906418618553044,0.13005058467388153,68183.9609375,28.880324027653284,0.7652148604393005,0.1306152641773224,68480.015625,0.020223617553710938,10603.0,0.007869720458984375,4126.0,0.011260986328125,5904.0,0.0,0,0.15083888173103333,79083.015625,5000,1000
othim12,erp,0,1,1,0.005,28.43897750915875,0.1441178321838379,75559.25,28.42889177571185,0.7622413039207458,0.14454329013824463,75782.3125,0.020660400390625,10832.0,0.00890350341796875,4668.0,0.010791778564453125,5658.0,0.0,0,0.16520369052886963,86614.3125,5000,1000
othim13,erp,0,1,1,0.005,30.03154412549188,0.11638084053993225,61017.078125,30.019385454833678,0.8546042442321777,0.11662915349006653,61147.265625,0.021409988403320312,11225.0,0.009029388427734375,4734.0,0.011415481567382812,5985.0,0.0,0,0.13803914189338684,72372.265625,5000,1000
othim14,erp,0,1,1,0.005,30.138574377627297,0.11834511160850525,62046.921875,30.11624220009398,0.8558275103569031,0.11919870227575302,62494.44921875,0.019941329956054688,10455.0,0.0077686309814453125,4073.0,0.01132965087890625,5940.0,0.0,0,0.1391400322318077,72949.44921875,5000,1000
othim15,erp,0,1,1,0.005,29.941003567975645,0.12055571377277374,63205.9140625,29.926520284644955,0.8536180853843689,0.12109794467687607,63490.19921875,0.020404815673828125,10698.0,0.008073806762695312,4233.0,0.011501312255859375,6030.0,0.0,0,0.1415027603507042,74188.19921875,5000,1000
othim16,erp,0,1,1,0.005,30.428690315835514,0.11083099246025085,58107.359375,30.412961379681946,0.8671298027038574,0.11211345344781876,58779.73828125,0.01891326904296875,9916.0,0.00681304931640625,3572.0,0.011144638061523438,5843.0,0.0,0,0.1310267224907875,68695.73828125,5000,1000
othim17,erp,0,1,1,0.005,30.342482020383034,0.10653989017009735,55857.5859375,30.31330820978104,0.8659234046936035,0.10720191895961761,56204.6796875,0.0201416015625,10560.0,0.0079498291015625,4168.0,0.011369705200195312,5961.0,0.0,0,0.12734352052211761,66764.6796875,5000,1000
othim18,erp,0,1,1,0.005,30.63266962119596,0.11235326528549194,58905.46875,30.608713725036495,0.8695000410079956,0.11260665208101273,59038.31640625,0.02094268798828125,10980.0,0.009000778198242188,4719.0,0.011220932006835938,5883.0,0.0,0,0.13354934006929398,70018.31640625,5000,1000
othim19,erp,0,1,1,0.005,27.385468287121707,0.27100443840026855,142084.375,27.37511197361603,0.797418475151062,0.27141839265823364,142301.40625,0.021636962890625,11344.0,0.009122848510742188,4783.0,0.011667251586914062,6117.0,0.0,0,0.29305535554885864,153645.40625,5000,1000
othim20,erp,0,1,1,0.005,27.466901400260827,0.286861777305603,150398.1875,27.453068215617204,0.7938146591186523,0.2875973582267761,150783.84375,0.02046966552734375,10732.0,0.008039474487304688,4215.0,0.01146697998046875,6012.0,0.0,0,0.3080670237541199,161515.84375,5000,1000
