image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,1,0.0015,32.68543504097491,0.3824995756149292,200539.9375,32.67408929526943,0.8961448669433594,0.38306546211242676,200836.625,0.020305633544921875,10646.0,0.00893402099609375,4684.0,0.010324478149414062,5413.0,0.0,0,0.40337109565734863,211482.625,5000,1000
othim02,full,0,0,1,0.0015,32.67671864063112,0.3831769824028015,200895.09375,32.67007880001928,0.8948621153831482,0.385348379611969,202033.53125,0.01941680908203125,10180.0,0.007904052734375,4144.0,0.0105743408203125,5544.0,0.0,0,0.40476518869400024,212213.53125,5000,1000
othim03,full,0,0,1,0.0015,32.680573007063714,0.38218817114830017,200376.671875,32.671908084397806,0.8932780623435974,0.38243022561073303,200503.578125,0.021032333374023438,11027.0,0.009906768798828125,5194.0,0.010202407836914062,5349.0,0.0,0,0.40346255898475647,211530.578125,5000,1000
othim04,full,0,0,1,0.0015,30.839462417595428,0.8174547553062439,428581.71875,30.83316340496697,0.9036502838134766,0.8176612854003906,428690.0,0.020864486694335938,10939.0,0.009744644165039062,5109.0,0.010196685791015625,5346.0,0.0,0,0.8385257720947266,439629.0,5000,1000
othim05,full,0,0,1,0.0015,31.426282357482993,0.6390703320503235,335056.90625,31.418184252450928,0.8911728858947754,0.6405404806137085,335827.6875,0.019071578979492188,9999.0,0.0077953338623046875,4087.0,0.01049041748046875,5500.0,0.0,0,0.6596120595932007,345826.6875,5000,1000
othim06,full,0,0,1,0.0015,31.390042622840994,0.6533194780349731,342527.5625,31.383778262960664,0.8920578956604004,0.6539607048034668,342863.75,0.020137786865234375,10558.0,0.008831024169921875,4630.0,0.010364532470703125,5434.0,0.0,0,0.6740984916687012,353421.75,5000,1000
othim07,full,0,0,1,0.0015,34.11979749920832,0.2798175811767578,146705.0,34.107323263855875,0.9241288900375366,0.28063029050827026,147131.09375,0.021175384521484375,11102.0,0.009935379028320312,5209.0,0.010280609130859375,5390.0,0.0,0,0.30180567502975464,158233.09375,5000,1000
othim08,full,0,0,1,0.0015,34.02878903665732,0.250263512134552,131210.15625,34.01858721232779,0.9196536540985107,0.2508242130279541,131504.125,0.019916534423828125,10442.0,0.008754730224609375,4590.0,0.010223388671875,5360.0,0.0,0,0.2707407474517822,141946.125,5000,1000
othim09,full,0,0,1,0.0015,33.93637883522828,0.2743037939071655,143814.1875,33.91722753654737,0.9199334979057312,0.2745460271835327,143941.1875,0.020660400390625,10832.0,0.009012222290039062,4725.0,0.010585784912109375,5550.0,0.0,0,0.2952064275741577,154773.1875,5000,1000
othim10,full,0,0,1,0.0015,32.2829779625877,0.2929712235927582,153601.296875,32.26796412593949,0.8606687784194946,0.2934332489967346,153843.53125,0.02021026611328125,10596.0,0.00896453857421875,4700.0,0.010282516479492188,5391.0,0.0,0,0.31364351511001587,164439.53125,5000,1000
othim11,full,0,0,1,0.0015,32.09727464590919,0.3524700999259949,184795.84375,32.09133482794147,0.866398274898529,0.35286736488342285,185004.125,0.020490646362304688,10743.0,0.008916854858398438,4675.0,0.010496139526367188,5503.0,0.0,0,0.37335801124572754,195747.125,5000,1000
othim12,full,0,0,1,0.0015,32.0316850955233,0.4081868529319763,214007.46875,32.01213260412059,0.8706545829772949,0.4083493947982788,214092.6875,0.020048141479492188,10511.0,0.009897232055664062,5189.0,0.009212493896484375,4830.0,0.0,0,0.428397536277771,224603.6875,5000,1000
othim13,full,0,0,1,0.0015,33.75730770263577,0.2859872281551361,149939.671875,33.744282601643114,0.9081621170043945,0.28669703006744385,150311.8125,0.018468856811523438,9683.0,0.007974624633789062,4181.0,0.009584426879882812,5025.0,0.0,0,0.3051658868789673,159994.8125,5000,1000
othim14,full,0,0,1,0.0015,33.821656571503844,0.28835630416870117,151181.75,33.813028147639336,0.9086825251579285,0.28971803188323975,151895.6875,0.019689559936523438,10323.0,0.008777618408203125,4602.0,0.010105133056640625,5298.0,0.0,0,0.3094075918197632,162218.6875,5000,1000
othim15,full,0,0,1,0.0015,33.62583297292859,0.29688018560409546,155650.71875,33.60568673861683,0.9060346484184265,0.29735660552978516,155900.5,0.018941879272460938,9931.0,0.008840560913085938,4635.0,0.009187698364257812,4817.0,0.0,0,0.3162984848022461,165831.5,5000,1000
