image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim11,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,43.137739715485615,3.6887683868408203,1933977.0,43.14009218753569,0.9952661991119385,3.6899240016937256,1934582.875,0.026790618896484375,14046.0,0.009613037109375,5040.0,0.016092300415039062,8437.0,0.0,0,3.71671462059021,1948628.875,5000,1000
othim12,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,43.812056595528645,3.8323006629943848,2009229.25,43.803859275462564,0.9955476522445679,3.833662509918213,2009943.25,0.025892257690429688,13575.0,0.009668350219726562,5069.0,0.014925003051757812,7825.0,0.0,0,3.8595547676086426,2023518.25,5000,1000
othim13,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,43.89067429351113,3.484137535095215,1826691.5,43.83156612980104,0.9965314269065857,3.485020160675049,1827154.25,0.024005889892578125,12586.0,0.00940704345703125,4932.0,0.013536453247070312,7097.0,0.0,0,3.509026050567627,1839740.25,5000,1000
othim14,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.54027782461355,3.463470697402954,1815856.125,44.357563143565926,0.9964625239372253,3.4644341468811035,1816361.25,0.022890090942382812,12001.0,0.009462356567382812,4961.0,0.012361526489257812,6481.0,0.0,0,3.4873242378234863,1828362.25,5000,1000
othim15,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.64940593886053,3.4061784744262695,1785818.5,44.640092218889784,0.9961246252059937,3.407583236694336,1786555.0,0.02455902099609375,12876.0,0.009700775146484375,5086.0,0.013772964477539062,7221.0,0.0,0,3.4321422576904297,1799431.0,5000,1000
othim16,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.095934117443925,3.2937731742858887,1726885.75,43.99056639157555,0.9965251684188843,3.2958149909973145,1727956.25,0.02394866943359375,12556.0,0.009487152099609375,4974.0,0.013397216796875,7024.0,0.0,0,3.319763660430908,1740512.25,5000,1000
othim17,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.071659417786286,3.2937684059143066,1726883.25,44.048073680042116,0.9965187311172485,3.294713020324707,1727378.5,0.024061203002929688,12615.0,0.00952911376953125,4996.0,0.013458251953125,7056.0,0.0,0,3.3187742233276367,1739993.5,5000,1000
othim18,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.80562914169402,3.246706962585449,1702209.5,44.629149845635396,0.9964820742607117,3.24739933013916,1702572.5,0.022527694702148438,11811.0,0.009593963623046875,5030.0,0.012126922607421875,6358.0,0.0,0,3.2699270248413086,1714383.5,5000,1000
othim19,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.685151983392565,3.954380989074707,2073234.5,41.62138534773778,0.9967631101608276,3.9558069705963135,2073982.125,0.02336883544921875,12252.0,0.009334564208984375,4894.0,0.013338088989257812,6993.0,0.0,0,3.9791758060455322,2086234.125,5000,1000
othim20,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.30385382022353,4.044881343841553,2120682.75,42.2979153035467,0.9968210458755493,4.046611785888672,2121590.0,0.02393341064453125,12548.0,0.0095062255859375,4984.0,0.013462066650390625,7058.0,0.0,0,4.070545196533203,2134138.0,5000,1000
othim21,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.089217344489505,3.9845919609069824,2089073.75,42.027995825403714,0.9966830015182495,3.985398769378662,2089496.75,0.022655487060546875,11878.0,0.0093231201171875,4888.0,0.012292861938476562,6445.0,0.0,0,4.008054256439209,2101374.75,5000,1000
othim22,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.615559687756296,3.6825506687164307,1930717.125,41.60483358776293,0.9935113787651062,3.6848907470703125,1931944.0,0.02545166015625,13344.0,0.00946044921875,4960.0,0.014802932739257812,7761.0,0.0,0,3.7103424072265625,1945288.0,5000,1000
othim23,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.04326170361963,3.625594139099121,1900855.5,41.016688600519565,0.9942902326583862,3.627614736557007,1901914.875,0.0252227783203125,13224.0,0.009607315063476562,5037.0,0.014537811279296875,7622.0,0.0,0,3.6528375148773193,1915138.875,5000,1000
othim24,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,40.47950144863314,4.0157575607299805,2105413.5,40.428101814789194,0.992918848991394,4.019338607788086,2107291.0,0.024358749389648438,12771.0,0.009603500366210938,5035.0,0.013601303100585938,7131.0,0.0,0,4.043697357177734,2120062.0,5000,1000
othim25,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,36.681986785152986,4.247720241546631,2227028.75,36.642581085780854,0.9867145419120789,4.249523162841797,2227974.0,0.025081634521484375,13150.0,0.009471893310546875,4966.0,0.014781951904296875,7750.0,0.0,0,4.274604797363281,2241124.0,5000,1000
othim26,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,36.49038177597709,4.061832427978516,2129570.0,36.48924436403874,0.9856800436973572,4.0634660720825195,2130426.5,0.025300979614257812,13265.0,0.009344100952148438,4899.0,0.014892578125,7808.0,0.0,0,4.088767051696777,2143691.5,5000,1000
