image_name,mask_type,wsmse_tag,swhdc_tag,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,0.01,27.2820123571697,0.09628565609455109,50481.4140625,27.26515068374132,0.09667801111936569,50687.12109375,0.017435073852539062,9141.0,0.0077075958251953125,4041.0,0.009000778198242188,4719.0,0.0,0,0.11411308497190475,59828.12109375,1000,1000
othim02,full,0,0,0.01,27.125756418496234,0.09820690751075745,51488.703125,27.116906533532703,0.09846624732017517,51624.671875,0.017436981201171875,9142.0,0.00760650634765625,3988.0,0.009000778198242188,4719.0,0.0,0,0.11590322852134705,60766.671875,1000,1000
othim03,full,0,0,0.01,27.097674013706484,0.09757096320390701,51155.28515625,27.076839434620222,0.09792551398277283,51341.171875,0.0182037353515625,9544.0,0.008703231811523438,4563.0,0.008802413940429688,4615.0,0.0,0,0.11612924933433533,60885.171875,1000,1000
othim04,full,0,0,0.01,24.438799024676552,0.2108292281627655,110535.234375,24.423236246828907,0.21142354607582092,110846.828125,0.01638031005859375,8588.0,0.0076351165771484375,4003.0,0.007892608642578125,4138.0,0.0,0,0.22780385613441467,119434.828125,1000,1000
othim05,full,0,0,0.01,25.336099416055784,0.1671081781387329,87612.8125,25.313882753579435,0.16758692264556885,87863.8125,0.016429901123046875,8614.0,0.0076446533203125,4008.0,0.0080413818359375,4216.0,0.0,0,0.18401682376861572,96477.8125,1000,1000
othim06,full,0,0,0.01,25.285441638407445,0.17166554927825928,90002.1875,25.27634999425905,0.17281709611415863,90605.9296875,0.016263961791992188,8527.0,0.00662994384765625,3476.0,0.00888824462890625,4660.0,0.0,0,0.18908105790615082,99132.9296875,1000,1000
othim07,full,0,0,0.01,28.11874259166153,0.0842597484588623,44176.375,28.07349350574415,0.08446912467479706,44286.1484375,0.016565322875976562,8685.0,0.0075397491455078125,3953.0,0.008047103881835938,4219.0,0.0,0,0.10103444755077362,52971.1484375,1000,1000
othim08,full,0,0,0.01,28.251272255135813,0.07864657789468765,41233.45703125,28.236469786492346,0.07923853397369385,41543.8125,0.017175674438476562,9005.0,0.0075836181640625,3976.0,0.008739471435546875,4582.0,0.0,0,0.09641420841217041,50548.8125,1000,1000
othim09,full,0,0,0.01,28.19751832883163,0.08309602737426758,43566.25,28.186980613334025,0.0836285948753357,43845.46875,0.017795562744140625,9330.0,0.007701873779296875,4038.0,0.009244918823242188,4847.0,0.0,0,0.10142415761947632,53175.46875,1000,1000
othim10,full,0,0,0.01,27.81788432311498,0.07248790562152863,38004.5390625,27.7611639696923,0.07419990748167038,38902.12109375,0.0154571533203125,8104.0,0.0067157745361328125,3521.0,0.007875442504882812,4129.0,0.0,0,0.08965706080198288,47006.12109375,1000,1000
othim11,full,0,0,0.01,27.193519205893153,0.07864858210086823,41234.5078125,27.178018809348732,0.079062819480896,41451.6875,0.017368316650390625,9106.0,0.0077838897705078125,4081.0,0.008840560913085938,4635.0,0.0,0,0.09643113613128662,50557.6875,1000,1000
othim12,full,0,0,0.01,26.8835979520173,0.09012390673160553,47250.8828125,26.86597823928092,0.09130056202411652,47867.7890625,0.017345428466796875,9094.0,0.0077190399169921875,4047.0,0.008758544921875,4592.0,0.0,0,0.10864599049091339,56961.7890625,1000,1000
othim13,full,0,0,0.01,28.29611630553514,0.08414780348539352,44117.68359375,28.26641800578297,0.0845424085855484,44324.5703125,0.0161590576171875,8472.0,0.007694244384765625,4034.0,0.007625579833984375,3998.0,0.0,0,0.1007014662027359,52796.5703125,1000,1000
othim14,full,0,0,0.01,28.20485904905537,0.08297979831695557,43505.3125,28.182404370575664,0.08375009894371033,43909.171875,0.016323089599609375,8558.0,0.0076084136962890625,3989.0,0.0077648162841796875,4071.0,0.0,0,0.1000731885433197,52467.171875,1000,1000
othim15,full,0,0,0.01,28.14546948508827,0.08352219313383102,43789.68359375,28.12205594133158,0.08379214257001877,43931.21484375,0.016193389892578125,8490.0,0.0075836181640625,3976.0,0.00777435302734375,4076.0,0.0,0,0.0999855324625969,52421.21484375,1000,1000
othim16,full,0,0,0.01,28.798634297289897,0.08101245760917664,42473.859375,28.74512863461265,0.08179304748773575,42883.11328125,0.016201019287109375,8494.0,0.0075626373291015625,3965.0,0.0077972412109375,4088.0,0.0,0,0.09799406677484512,51377.11328125,1000,1000
othim17,full,0,0,0.01,28.78750774646689,0.0814133882522583,42684.0625,28.744823471163595,0.0823914110660553,43196.828125,0.016490936279296875,8646.0,0.0076084136962890625,3989.0,0.008153915405273438,4275.0,0.0,0,0.09888234734535217,51842.828125,1000,1000
othim18,full,0,0,0.01,28.903933625652297,0.07573513686656952,39707.0234375,28.866433329377756,0.07631304115056992,40010.01171875,0.015962600708007812,8369.0,0.007747650146484375,4062.0,0.007495880126953125,3930.0,0.0,0,0.09227564185857773,48379.01171875,1000,1000
othim19,full,0,0,0.01,25.46135862229657,0.17047886550426483,89380.0234375,25.456181885486046,0.17086336016654968,89581.609375,0.017396926879882812,9121.0,0.0077571868896484375,4067.0,0.0086669921875,4544.0,0.0,0,0.1882602870464325,98702.609375,1000,1000
othim20,full,0,0,0.01,25.32178046816202,0.16169005632400513,84772.15625,25.313791392131957,0.16241446137428284,85151.953125,0.016275405883789062,8533.0,0.0077457427978515625,4061.0,0.0076618194580078125,4017.0,0.0,0,0.1786898672580719,93684.953125,1000,1000
othim21,full,0,0,0.01,25.254314113304236,0.1718009114265442,90073.15625,25.245014613326674,0.17235785722732544,90365.15625,0.01667022705078125,8740.0,0.0078125,4096.0,0.00798797607421875,4188.0,0.0,0,0.1890280842781067,99105.15625,1000,1000
